Postcode,SplitIndicator,CouncilArea2019Code,ElectoralWard2019Code,Islands2020Code,CouncilArea2019Name,ElectoralWard2019Name,Island2020Name,InhabitedStatus
G63 0XLA,Y,S12000045,S13002904,000,East Dunbartonshire,Bishopbriggs North and Campsie,Mainland,Y
G63 0XLB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G64 1UNA,Y,S12000050,S13003134,000,North Lanarkshire,"Stepps, Chryston and Muirhead",Mainland,Y
G64 1UNB,Y,S12000045,S13002905,000,East Dunbartonshire,Bishopbriggs South,Mainland,Y
G64 1URA,Y,S12000045,S13002905,000,East Dunbartonshire,Bishopbriggs South,Mainland,Y
G64 1URB,Y,S12000049,S13002983,000,Glasgow City,Springburn/Robroyston,Mainland,Y
G66 8ALA,Y,S12000050,S13003042,000,North Lanarkshire,Kilsyth,Mainland,Y
G66 8ALB,Y,S12000045,S13002904,000,East Dunbartonshire,Bishopbriggs North and Campsie,Mainland,Y
G69 6UBA,Y,S12000049,S13002986,000,Glasgow City,Baillieston,Mainland,Y
G69 6UBB,Y,S12000050,S13003051,000,North Lanarkshire,Coatbridge West,Mainland,Y
G69 9HRA,Y,S12000050,S13003134,000,North Lanarkshire,"Stepps, Chryston and Muirhead",Mainland,Y
G69 9HRB,Y,S12000045,S13002906,000,East Dunbartonshire,Lenzie and Kirkintilloch South,Mainland,Y
G71 8BQA,Y,S12000029,S13003110,000,South Lanarkshire,Bothwell and Uddingston,Mainland,Y
G71 8BQB,Y,S12000050,S13003056,000,North Lanarkshire,Bellshill,Mainland,Y
G73 1DBA,Y,S12000029,S13003106,000,South Lanarkshire,Rutherglen Central and North,Mainland,Y
G73 1DBB,Y,S12000049,S13002974,000,Glasgow City,Southside Central,Mainland,Y
G76 8RUA,Y,S12000029,S13003103,000,South Lanarkshire,East Kilbride West,Mainland,Y
G76 8RUB,Y,S12000011,S13002917,000,East Renfrewshire,"Clarkston, Netherlee and Williamwood",Mainland,Y
G78 3ANA,Y,S12000038,S13003081,000,Renfrewshire,Paisley Southwest,Mainland,Y
G78 3ANB,Y,S12000011,S13002914,000,East Renfrewshire,"Barrhead, Liboside and Uplawmoor",Mainland,Y
G78 4DEA,Y,S12000011,S13002914,000,East Renfrewshire,"Barrhead, Liboside and Uplawmoor",Mainland,Y
G78 4DEB,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
G81 1ETA,Y,S12000039,S13003127,000,West Dunbartonshire,Clydebank Waterfront,Mainland,Y
G81 1ETB,Y,S12000049,S13002979,000,Glasgow City,Garscadden/Scotstounhill,Mainland,Y
G81 1EWA,Y,S12000039,S13003127,000,West Dunbartonshire,Clydebank Waterfront,Mainland,Y
G81 1EWB,Y,S12000049,S13002979,000,Glasgow City,Garscadden/Scotstounhill,Mainland,Y
G81 5QRA,Y,S12000039,S13003125,000,West Dunbartonshire,Kilpatrick,Mainland,Y
G81 5QRB,Y,S12000045,S13002902,000,East Dunbartonshire,Bearsden North,Mainland,Y
G83 7DXA,Y,S12000030,S13003115,000,Stirling,Trossachs and Teith,Mainland,Y
G83 7DXB,Y,S12000035,S13002524,000,Argyll and Bute,Lomond North,Mainland,Y
G83 8QZA,Y,S12000035,S13002526,000,Argyll and Bute,Helensburgh and Lomond South,Mainland,Y
G83 8QZB,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 8RZA,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 8RZB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G83 8SBA,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 8SBB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G83 8SDA,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 8SDB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G83 9LXA,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 9LXB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
HS5 3TLA,Y,S12000013,S13002602,080,Na h-Eileanan Siar,Na Hearadh agus Ceann a Deas nan Loch,Isle of Lewis / Eilean Leodhais & Harris / Na Hea,Y
HS5 3TLB,Y,S12000013,S13002602,039,Na h-Eileanan Siar,Na Hearadh agus Ceann a Deas nan Loch,Ensay / Easaigh,Y
HS5 3UDA,Y,S12000013,S13002602,080,Na h-Eileanan Siar,Na Hearadh agus Ceann a Deas nan Loch,Isle of Lewis / Eilean Leodhais & Harris / Na Hea,Y
HS5 3UDB,Y,S12000013,S13002602,078,Na h-Eileanan Siar,Na Hearadh agus Ceann a Deas nan Loch,Killegray / Ceileagraigh,Y
HS6 5HPA,Y,S12000013,S13002601,095,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,North Uist / Uibhist A Tuath,Y
HS6 5HPB,Y,S12000013,S13002601,172,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,Eilean Leathann,Y
HS6 5HPC,Y,S12000013,S13002601,178,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,Eilean a' Ghiorr,Y
HS6 5HTA,Y,S12000013,S13002601,056,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,Grimsay / Griomasaigh  (North),Y
HS6 5HTB,Y,S12000013,S13002601,176,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,Eilean na h-Airigh,Y
HS6 5HUA,Y,S12000013,S13002601,056,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,Grimsay / Griomasaigh  (North),Y
HS6 5HUB,Y,S12000013,S13002601,177,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,Fraoch-eilean,Y
HS7 5LYA,Y,S12000013,S13002601,010,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,Benbecula / Beinn Na Faoghla,Y
HS7 5LYB,Y,S12000013,S13002601,149,Na h-Eileanan Siar,Beinn na Foghla agus Uibhist a Tuath,Sunamul,Y
IV21 2ABA,Y,S12000017,S13002994,000,Highland,"Wester Ross, Strathpeffer and Lochalsh",Mainland,Y
IV21 2ABB,Y,S12000017,S13002994,029,Highland,"Wester Ross, Strathpeffer and Lochalsh",Eilean Tioram,Y
IV26 2TNA,Y,S12000017,S13002994,000,Highland,"Wester Ross, Strathpeffer and Lochalsh",Mainland,Y
IV26 2TNB,Y,S12000017,S13002994,075,Highland,"Wester Ross, Strathpeffer and Lochalsh",Isle Martin,Y
IV26 2YNA,Y,S12000017,S13002994,000,Highland,"Wester Ross, Strathpeffer and Lochalsh",Mainland,Y
IV26 2YNB,Y,S12000017,S13002994,131,Highland,"Wester Ross, Strathpeffer and Lochalsh",Tanera More / Tannara Mòr,Y
IV36 2QLA,Y,S12000020,S13003031,000,Moray,Forres,Mainland,Y
IV36 2QLB,Y,S12000017,S13003007,000,Highland,Nairn and Cawdor,Mainland,Y
IV36 2TEA,Y,S12000020,S13003031,000,Moray,Forres,Mainland,Y
IV36 2TEB,Y,S12000017,S13003007,000,Highland,Nairn and Cawdor,Mainland,Y
IV40 8DXA,Y,S12000017,S13002994,000,Highland,"Wester Ross, Strathpeffer and Lochalsh",Mainland,Y
IV40 8DXB,Y,S12000017,S13002994,037,Highland,"Wester Ross, Strathpeffer and Lochalsh",Eilean Donnan,Y
KA1 5JSA,Y,S12000028,S13003092,000,South Ayrshire,Kyle,Mainland,Y
KA1 5JSB,Y,S12000008,S13002898,000,East Ayrshire,Ballochmyle,Mainland,Y
KA1 5LRA,Y,S12000008,S13002898,000,East Ayrshire,Ballochmyle,Mainland,Y
KA1 5LRB,Y,S12000028,S13003092,000,South Ayrshire,Kyle,Mainland,Y
KA1 5NYA,Y,S12000008,S13002898,000,East Ayrshire,Ballochmyle,Mainland,Y
KA1 5NYB,Y,S12000028,S13003092,000,South Ayrshire,Kyle,Mainland,Y
KA11 2APA,Y,S12000021,S13003033,000,North Ayrshire,Irvine East,Mainland,Y
KA11 2APB,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA11 2ARA,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA11 2ARB,Y,S12000021,S13003033,000,North Ayrshire,Irvine East,Mainland,Y
KA13 7QZA,Y,S12000021,S13003034,000,North Ayrshire,Kilwinning,Mainland,Y
KA13 7QZB,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA13 7RLA,Y,S12000021,S13003034,000,North Ayrshire,Kilwinning,Mainland,Y
KA13 7RLB,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA13 7RRA,Y,S12000021,S13003034,000,North Ayrshire,Kilwinning,Mainland,Y
KA13 7RRB,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA2 9AJA,Y,S12000028,S13003092,000,South Ayrshire,Kyle,Mainland,Y
KA2 9AJB,Y,S12000008,S13002894,000,East Ayrshire,Kilmarnock West and Crosshouse,Mainland,Y
KA26 0RBA,Y,S12000028,S13003094,000,South Ayrshire,Girvan and South Carrick,Mainland,Y
KA26 0RBB,Y,S12000006,S13002881,000,Dumfries and Galloway,Mid Galloway and Wigtown West,Mainland,Y
KA3 2NGA,Y,S12000021,S13003033,000,North Ayrshire,Irvine East,Mainland,Y
KA3 2NGB,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA3 2NXA,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA3 2NXB,Y,S12000021,S13003033,000,North Ayrshire,Irvine East,Mainland,Y
KA3 2PDA,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA3 2PDB,Y,S12000021,S13003033,000,North Ayrshire,Irvine East,Mainland,Y
KA3 3EBA,Y,S12000021,S13003033,000,North Ayrshire,Irvine East,Mainland,Y
KA3 3EBB,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA3 3EDA,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
KA3 3EDB,Y,S12000021,S13003033,000,North Ayrshire,Irvine East,Mainland,Y
KA5 5PBA,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA5 5PBB,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA5 5TAA,Y,S12000028,S13003092,000,South Ayrshire,Kyle,Mainland,Y
KA5 5TAB,Y,S12000008,S13002898,000,East Ayrshire,Ballochmyle,Mainland,Y
KA5 5TBA,Y,S12000028,S13003092,000,South Ayrshire,Kyle,Mainland,Y
KA5 5TBB,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA5 5TPA,Y,S12000008,S13002898,000,East Ayrshire,Ballochmyle,Mainland,Y
KA5 5TPB,Y,S12000028,S13003092,000,South Ayrshire,Kyle,Mainland,Y
KA5 5TWA,Y,S12000028,S13003092,000,South Ayrshire,Kyle,Mainland,Y
KA5 5TWB,Y,S12000008,S13002898,000,East Ayrshire,Ballochmyle,Mainland,Y
KA6 6ANA,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA6 6ANB,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 6AWA,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA6 6AWB,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 6ESA,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 6ESB,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA6 6EUA,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA6 6EUB,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 6EYA,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA6 6EYB,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 6HBA,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA6 6HBB,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 6HFA,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA6 6HFB,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 7ENA,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KA6 7ENB,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 7HTA,Y,S12000028,S13003093,000,South Ayrshire,"Maybole, North Carrick and Coylton",Mainland,Y
KA6 7HTB,Y,S12000008,S13002900,000,East Ayrshire,Doon Valley,Mainland,Y
KW15 1TUA,Y,S12000023,S13002735,085,Orkney Islands,West Mainland,Mainland of Orkney,Y
KW15 1TUB,Y,S12000023,S13002735,058,Orkney Islands,West Mainland,Holm of Grimbister,Y
KW17 2ARA,Y,S12000023,S13002737,128,Orkney Islands,North Isles,Stronsay,Y
KW17 2ARB,Y,S12000023,S13002737,103,Orkney Islands,North Isles,Papa Stronsay,Y
KY12 9UFA,Y,S12000047,S13003131,000,Fife,West Fife and Coastal Villages,Mainland,Y
KY12 9UFB,Y,S12000005,S13002879,000,Clackmannanshire,Clackmannanshire East,Mainland,Y
KY13 0LPA,Y,S12000048,S13003132,000,Perth and Kinross,Kinross-shire,Mainland,Y
KY13 0LPB,Y,S12000047,S13003131,000,Fife,West Fife and Coastal Villages,Mainland,Y
KY13 0PUA,Y,S12000005,S13002879,000,Clackmannanshire,Clackmannanshire East,Mainland,Y
KY13 0PUB,Y,S12000048,S13003132,000,Perth and Kinross,Kinross-shire,Mainland,Y
KY13 9SWA,Y,S12000047,S13002960,000,Fife,Howe of Fife and Tay Coast,Mainland,Y
KY13 9SWB,Y,S12000048,S13003132,000,Perth and Kinross,Kinross-shire,Mainland,Y
KY4 0HWA,Y,S12000048,S13003132,000,Perth and Kinross,Kinross-shire,Mainland,Y
KY4 0HWB,Y,S12000047,S13003128,000,Fife,Cowdenbeath,Mainland,Y
KY6 3JDA,Y,S12000047,S13002958,000,Fife,"Glenrothes North, Leslie and Markinch",Mainland,Y
KY6 3JDB,Y,S12000048,S13003132,000,Perth and Kinross,Kinross-shire,Mainland,Y
KY6 3JLA,Y,S12000047,S13002958,000,Fife,"Glenrothes North, Leslie and Markinch",Mainland,Y
KY6 3JLB,Y,S12000048,S13003132,000,Perth and Kinross,Kinross-shire,Mainland,Y
ML12 6HBA,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
ML12 6HBB,Y,S12000029,S13003097,000,South Lanarkshire,Clydesdale East,Mainland,Y
ML12 6JJA,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
ML12 6JJB,Y,S12000029,S13003097,000,South Lanarkshire,Clydesdale East,Mainland,Y
ML12 6QYA,Y,S12000029,S13003097,000,South Lanarkshire,Clydesdale East,Mainland,Y
ML12 6QYB,Y,S12000026,S13002761,000,Scottish Borders,Tweeddale West,Mainland,Y
ML2 9PJA,Y,S12000050,S13003054,000,North Lanarkshire,Fortissat,Mainland,Y
ML2 9PJB,Y,S12000029,S13003096,000,South Lanarkshire,Clydesdale North,Mainland,Y
ML6 7RYA,Y,S12000050,S13003049,000,North Lanarkshire,Airdrie North,Mainland,Y
ML6 7RYB,Y,S12000040,S13002828,000,West Lothian,Armadale and Blackridge,Mainland,Y
ML7 5QLA,Y,S12000050,S13003054,000,North Lanarkshire,Fortissat,Mainland,Y
ML7 5QLB,Y,S12000040,S13002826,000,West Lothian,Whitburn and Blackburn,Mainland,Y
ML7 5QWA,Y,S12000050,S13003054,000,North Lanarkshire,Fortissat,Mainland,Y
ML7 5QWB,Y,S12000040,S13002826,000,West Lothian,Whitburn and Blackburn,Mainland,Y
PA10 2QAA,Y,S12000038,S13003083,000,Renfrewshire,"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",Mainland,Y
PA10 2QAB,Y,S12000018,S13003011,000,Inverclyde,Inverclyde East,Mainland,Y
PA11 3SGA,Y,S12000038,S13003085,000,Renfrewshire,"Bishopton, Bridge of Weir and Langbank",Mainland,Y
PA11 3SGB,Y,S12000018,S13003011,000,Inverclyde,Inverclyde East,Mainland,Y
PA13 4PDA,Y,S12000018,S13003011,000,Inverclyde,Inverclyde East,Mainland,Y
PA13 4PDB,Y,S12000038,S13003085,000,Renfrewshire,"Bishopton, Bridge of Weir and Langbank",Mainland,Y
PA13 4SAA,Y,S12000018,S13003011,000,Inverclyde,Inverclyde East,Mainland,Y
PA13 4SAB,Y,S12000038,S13003085,000,Renfrewshire,"Bishopton, Bridge of Weir and Langbank",Mainland,Y
PA14 6TGA,Y,S12000018,S13003011,000,Inverclyde,Inverclyde East,Mainland,Y
PA14 6TGB,Y,S12000038,S13003085,000,Renfrewshire,"Bishopton, Bridge of Weir and Langbank",Mainland,Y
PA2 8ULA,Y,S12000038,S13003081,000,Renfrewshire,Paisley Southwest,Mainland,Y
PA2 8ULB,Y,S12000011,S13002914,000,East Renfrewshire,"Barrhead, Liboside and Uplawmoor",Mainland,Y
PA31 8PQA,Y,S12000035,S13002518,000,Argyll and Bute,Mid Argyll,Mainland,Y
PA31 8PQB,Y,S12000035,S13002518,027,Argyll and Bute,Mid Argyll,Isle of Danna,Y
PA31 8PTA,Y,S12000035,S13002518,000,Argyll and Bute,Mid Argyll,Mainland,Y
PA31 8PTB,Y,S12000035,S13002518,158,Argyll and Bute,Mid Argyll,Eilean Loain,Y
PA31 8SWA,Y,S12000035,S13002518,000,Argyll and Bute,Mid Argyll,Mainland,Y
PA31 8SWB,Y,S12000035,S13002518,159,Argyll and Bute,Mid Argyll,Eilean dà Mhèinn,Y
PA31 8UAA,Y,S12000035,S13002518,000,Argyll and Bute,Mid Argyll,Mainland,Y
PA31 8UAB,Y,S12000035,S13002518,157,Argyll and Bute,Mid Argyll,Eilean Buidhe,Y
PA31 8UBA,Y,S12000035,S13002518,000,Argyll and Bute,Mid Argyll,Mainland,Y
PA31 8UBB,Y,S12000035,S13002518,157,Argyll and Bute,Mid Argyll,Eilean Buidhe,Y
PA33 1AWA,Y,S12000035,S13002520,000,Argyll and Bute,Oban North and Lorn,Mainland,Y
PA33 1AWB,Y,S12000035,S13002520,072,Argyll and Bute,Oban North and Lorn,Innis Chonain,Y
PA34 4TXA,Y,S12000035,S13002520,083,Argyll and Bute,Oban North and Lorn,Luing,Y
PA34 4TXB,Y,S12000035,S13002517,173,Argyll and Bute,Kintyre and the Islands,Rubha Fiola,Y
PA37 1SDA,Y,S12000035,S13002520,000,Argyll and Bute,Oban North and Lorn,Mainland,Y
PA37 1SDB,Y,S12000035,S13002520,174,Argyll and Bute,Oban North and Lorn,Eriska,Y
PA66 6BNA,Y,S12000035,S13002519,092,Argyll and Bute,Oban South and the Isles,Isle of Mull,Y
PA66 6BNB,Y,S12000035,S13002519,041,Argyll and Bute,Oban South and the Isles,Erraid,Y
PA75 6NUA,Y,S12000035,S13002519,092,Argyll and Bute,Oban South and the Isles,Isle of Mull,Y
PA75 6NUB,Y,S12000035,S13002519,179,Argyll and Bute,Oban South and the Isles,Rubha nan Gall,Y
PH11 8HJA,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH11 8HJB,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
PH11 8LZA,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH11 8LZB,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
PH11 8NAA,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
PH11 8NAB,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH12 8RBA,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH12 8RBB,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
PH12 8SLA,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
PH12 8SLB,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH12 8SWA,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH12 8SWB,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
PH13 9JTA,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH13 9JTB,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
PH13 9JUA,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
PH13 9JUB,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH13 9JZA,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
PH13 9JZB,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
PH14 9SZA,Y,S12000048,S13003063,000,Perth and Kinross,Carse of Gowrie,Mainland,Y
PH14 9SZB,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
PH26 3PUA,Y,S12000017,S13003009,000,Highland,Badenoch and Strathspey,Mainland,Y
PH26 3PUB,Y,S12000020,S13003031,000,Moray,Forres,Mainland,Y
PH44 4RSA,Y,S12000017,S13003000,021,Highland,Caol and Mallaig,Canna,Y
PH44 4RSB,Y,S12000017,S13003000,112,Highland,Caol and Mallaig,Sanday  (Canna),Y
TD11 3PFA,Y,S12000026,S13002766,000,Scottish Borders,Mid Berwickshire,Mainland,Y
TD11 3PFB,Y,S12000010,S13002912,000,East Lothian,Haddington and Lammermuir,Mainland,Y
TD11 3SNA,Y,S12000010,S13002912,000,East Lothian,Haddington and Lammermuir,Mainland,Y
TD11 3SNB,Y,S12000026,S13002766,000,Scottish Borders,Mid Berwickshire,Mainland,Y
TD13 5XEA,Y,S12000010,S13002913,000,East Lothian,Dunbar and East Linton,Mainland,Y
TD13 5XEB,Y,S12000026,S13002767,000,Scottish Borders,East Berwickshire,Mainland,Y
TD13 5XFA,Y,S12000010,S13002913,000,East Lothian,Dunbar and East Linton,Mainland,Y
TD13 5XFB,Y,S12000026,S13002767,000,Scottish Borders,East Berwickshire,Mainland,Y
TD13 5YNA,Y,S12000026,S13002767,000,Scottish Borders,East Berwickshire,Mainland,Y
TD13 5YNB,Y,S12000010,S13002913,000,East Lothian,Dunbar and East Linton,Mainland,Y
TD15 1SZA,Y,S12000026,S13002767,000,Scottish Borders,East Berwickshire,Mainland,Y
TD15 1UYA,Y,S12000026,S13002767,000,Scottish Borders,East Berwickshire,Mainland,Y
TD15 1UZA,Y,S12000026,S13002767,000,Scottish Borders,East Berwickshire,Mainland,Y
TD7 5LJA,Y,S12000026,S13002764,000,Scottish Borders,Selkirkshire,Mainland,Y
TD7 5LJB,Y,S12000006,S13002890,000,Dumfries and Galloway,Annandale North,Mainland,Y
TD9 0TUA,Y,S12000026,S13002771,000,Scottish Borders,Hawick and Hermitage,Mainland,Y
ZE2 9LEA,Y,S12000027,S13002775,032,Shetland Islands,Shetland Central,East Burra,Y
ZE2 9LEB,Y,S12000027,S13002775,140,Shetland Islands,Shetland Central,West Burra,Y